Unique_Investment_Identifier,Business_Case_ID,Agency_Code,Agency_Name,Investment_Title,Unique_Project_ID,Project_ID,Project_Name,Start_Date,Completion_Date,Project_LifeCycle_Cost,Schedule_Variance_days,Schedule_Variancne_perc,Schedule_Color,Cost_Variance_mil,Cost_Variance,Cost_Color
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure (AEI),AEI0038001,666,VoIP Riverdale,15/08/2011,30/04/2012,0.662,0,0,Green,0,0,Green
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure (AEI),AEI0038002,667,Enterprise Security,06/09/2011,31/12/2012,3.155,0,0,Green,0,0,Green
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure (AEI),AEI0038003,668,Telecom,06/09/2011,21/12/2012,14.239,0,0,Green,2.0244,83.14,Red
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure (AEI),AEI0038004,669,Enterprise Software license optimization,03/10/2011,07/09/2012,10.058,0,0,Green,0,0,Green
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure (AEI),AEI0038005,670,Hardware Maintenance,01/11/2011,31/05/2012,4.268,0,0,Green,0,0,Green
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure (AEI),AEI0038006,671,Enterprise Life Cycle Management,01/03/2012,24/08/2012,4.01,0,0,Green,0,0,Green
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure (AEI),AEI1338000,5873,Enterprise Management-1,01/10/2012,30/09/2013,23.717,0,0,Green,0,0,Green
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure (AEI),AEI1338001,5875,Enterprise Security-1,01/10/2012,30/09/2013,0.119,0,0,Green,0,0,Green
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure (AEI),AEI1338003,5877,Enterprise Software License management,05/11/2012,09/08/2013,3.014,0,0,Green,0,0,Green
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure (AEI),AEI1338004,5879,Hardware Maintenance-1,04/02/2013,28/06/2013,0.311,0,0,Green,0,0,Green
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure (AEI),AEI1438000,5881,Enterprise Management-2,01/01/2013,30/09/2014,30.975,0,0,Green,0,0,Green
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure (AEI),AEI1438001,5883,Enterprise Security-2,01/01/2013,30/09/2014,0.033,0,0,Green,0,0,Green
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure (AEI),AEI1438002,5885,Enterprise Software license optimization-1,04/11/2013,08/08/2014,12.959,0,0,Green,0,0,Green
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure (AEI),AEI1438003,5887,Hardware Maintenance-2,16/12/2013,18/07/2014,4.696,0,0,Green,0,0,Green
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1231-11-01,1092,Program Loan Accounting System (PLAS),01/10/2002,28/09/2018,46.72,0,0,Green,-0.245,-5.4,Green
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1231-19-01,1093,Electronic Debt and Loan Restructure System (eDALR$),01/10/2002,28/09/2018,23.36,0,0,Green,0,0,Green
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1231-24-01,1094,Direct Loan System (DLS),01/10/2002,28/09/2018,116.8,0,0,Green,0.884,3.87,Green
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1231-25-01,1095,Farm Loan Program Risk Assessment (FLPRA),01/10/2002,28/09/2018,23.36,0,0,Green,0.008,1.9,Green
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1231-30-01,1096,Farm Business Plan (FBP),01/10/2002,28/09/2018,23.36,0,0,Green,-1.317,-22.46,Yellow
005-000001234,221,5,Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,APLUS-001,1650,APLUS Operations and Maintenance,01/07/2011,30/09/2014,1.67,0,0,Green,-0.128,-10.2,Yellow
005-000001234,221,5,Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,GSM-001,1651,GSM Operations and Maintenance,01/10/2004,30/09/2014,3.922,0,0,Green,0.104,2.87,Green
005-000001234,221,5,Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,GSM-002,1652,GSM Migration,01/07/2011,30/01/2013,1.907,0,0,Green,0.139,7.29,Green
005-000001234,221,5,Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,APLUS-002,5575,APLUS-Migration,01/10/2013,30/09/2014,2.592,0,0,Green,0,0,Green
005-000001234,221,5,Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,GSM-003,5577,FMMI Interface,01/10/2013,30/09/2014,0.602,0,0,Green,0,0,Green
005-000001870,225,5,Department of Agriculture,Farm Program Modernization (MIDAS) #097,1,1676,Initial Operating Capability (IOC) Release 1 Deployment D1.0,01/07/2011,25/01/2013,100.676191,-217,-37.8,Red,-3.119485,-3.1,Green
005-000001870,225,5,Department of Agriculture,Farm Program Modernization (MIDAS) #097,2,5609,Initial Operating Capability (IOC) Release 1 Deployment D1.1,01/05/2012,01/07/2013,42.927415,-91,-21.36,Yellow,0,0,Green
005-000001425,227,5,Department of Agriculture,Financial Management Modernization Initiative (FMMI),01/06/2317,3221,FMMI Deployment 3 Wave 2,01/06/2012,31/12/2012,7.32,0,0,Green,3.813,52.1,Red
005-000001425,227,5,Department of Agriculture,Financial Management Modernization Initiative (FMMI),03/06/2317,5783,General Usability Enhancement Release 2,01/10/2013,30/09/2014,3,0,0,Green,0,0,Green
005-000001425,227,5,Department of Agriculture,Financial Management Modernization Initiative (FMMI),05/06/2317,5785,General Usability Enhancement Release 1,01/01/2013,30/09/2013,3,0,0,Green,0.01,0.33,Green
005-000001496,229,5,Department of Agriculture,FPA-P2 - Fire Program Analysis System - Phase 2,1,1740,FPA-P2 - Fire Program Analysis System - Phase 2,01/01/2005,01/10/2016,39.180338,0,0,Green,0.0611,2.46,Green
005-000000083,230,5,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),A_PHDCIS,5907,Elimination of Cold Fusion Applications.,01/10/2012,30/09/2013,0.5,0,0,Green,0,0,Green
005-000002148,231,5,Department of Agriculture,FSIS Public Health Information System (PHIS),PHICP-PHIS,1746,Public Health Information System.,27/09/2007,30/12/2018,141.478,0,0,Green,0.051,0.31,Green
005-999991841,234,5,Department of Agriculture,Human Resources Line of Business:  Service Center,GESD14-010,5809,Enterprise Reporting,01/04/2012,30/09/2015,5.548069,0,0,Green,5.548069,100,Red
005-999991841,234,5,Department of Agriculture,Human Resources Line of Business:  Service Center,GESD14-012,5811,PPS Risk Mitigation,01/04/2012,30/09/2015,1,-43,-21.83,Yellow,1,100,Red
005-000002328,235,5,Department of Agriculture,IBS - Incident Business System,1,1767,Provision of O&M Services,01/10/2006,30/09/2013,2.845,0,0,Green,0.1414,4.97,Green
005-000000039,236,5,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),10,5863,Oracle Discoverer,03/10/2011,30/03/2012,0.35,-52,-29.05,Yellow,0,0,Green
005-000000039,236,5,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),11,5865,Risk Management Framework (C&amp;A Phase I),01/10/2012,29/03/2013,0.1,0,0,Green,0,0,Green
005-000000039,236,5,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),7,5867,Risk Management Framework (C&amp;A Phase II),01/04/2013,30/09/2013,0.15,0,0,Green,0,0,Green
005-000000039,236,5,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),8,5869,eAuthentication,14/02/2011,30/12/2011,0.7,-139,-75.96,Red,0,0,Green
005-000000039,236,5,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),9,5871,FMMI Conversion,15/08/2011,30/12/2011,0.15,-326,-237.96,Red,0,0,Green
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),ADT9010001,672,FISMA Compliance FY12.,01/10/2011,30/09/2012,0.03,-517,-284.07,Red,0,0,Green
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),ADT9010002,673,FTE Support FY12.,01/10/2011,30/09/2012,0.7,-517,-124.88,Red,0,0,Green
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),ADT9010003,674,Acquisition Support FY12.,01/10/2011,30/09/2012,1.017,-334,-91.51,Red,0,0,Green
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),ADT9010004,5595,FISMA Compliance FY13.,01/10/2012,30/09/2013,0.12,0,0,Green,0,0,Green
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),ADT9010005,5597,Acquisition Support FY13.,01/10/2012,30/09/2013,0.81,0,0,Green,0.01,1.23,Green
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),ADT9010006,5599,FTE Support FY13.,01/10/2012,30/09/2013,0.180508,0,0,Green,0,0,Green
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),ADT9010007,5601,FISMA Compliance FY14.,01/10/2013,30/09/2014,0.012,0,0,Green,0,0,Green
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),ADT9010008,5603,Acquisition Support FY14.,01/10/2013,30/09/2014,0.54828,0,0,Green,0,0,Green
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),ADT9010009,5605,FTE Support FY14.,01/10/2013,30/09/2014,0.180508,0,0,Green,0,0,Green
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,2223-CRO,1106,NRM Customer Relations Operations,01/10/2011,30/09/2012,4.885,0,0,Green,0.768,15.72,Yellow
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,2223-DCO,1107,NRM Data Center Operations,01/10/2011,30/09/2012,7.02,0,0,Green,0.7,9.97,Green
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,2223-R57,1108,"NRM Release 5.7 (February, 2012)",01/10/2011,29/02/2012,6.958,0,0,Green,-0.315,-4.53,Green
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,2223-R58,1109,"NRM Release 5.8 (May, 2012)",01/03/2012,31/05/2012,4.175,0,0,Green,-0.224,-5.37,Green
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,2223-R59,1110,"NRM Release 5.9 (August, 2012)",01/06/2012,31/08/2012,4.175,0,0,Green,-0.224,-5.37,Green
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,2223-R60,1111,NRM Release 6.0 (September 2012),01/09/2012,30/09/2012,1.392,0,0,Green,-0.076,-5.46,Green
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,2223-YE11,1112,FY2011 Year End Reporting,01/10/2011,31/12/2011,0.2,-152,-167.03,Red,0.043755,21.88,Yellow
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,2223-YE12,1113,FY2012 Year End Reporting,01/08/2012,31/12/2012,0.4,-242,-159.21,Red,0,0,Green
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,2223-13-Q1,6179,FY2013 NRM O&M 1st Quarter,01/10/2012,31/12/2012,7.417,-242,-265.93,Red,0,0,Green
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,2223-13-Q2,6181,FY2013 NRM O&M 2nd Quarter,01/01/2013,31/03/2013,7.417,0,0,Green,0.542,7.31,Green
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,2223-13-Q3,6183,FY2013 NRM O&M 3rd Quarter,01/04/2013,30/06/2013,7.417,-61,-67.78,Red,0,0,Green
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,2223-13-Q4,6185,FY2013 NRM O&M 4th Quarter,01/07/2013,30/09/2013,7.417,0,0,Green,0,0,Green
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),OCE-EU-05,1696,End User Devices - Enterprise User Mobility,15/02/2012,31/08/2012,0.5,-14,-7.07,Green,-0.25,-50,Red
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),OCE-OF-01,1698,Office Environment - HeadEnd WAN Optimization,15/02/2012,31/08/2012,1.05236,-20,-10.1,Yellow,-0.070838,-6.73,Green
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),OCE-OF-02,1699,Office Environment - Field Service Center WAN Optimization,15/02/2012,31/08/2012,4.997,-35,-17.68,Yellow,0.050157,1,Green
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),OCE-OF-04,1700,Office Environment - Modernization of Service Center Network Hardware,15/02/2012,31/08/2012,21.729,-35,-17.68,Yellow,0.56657,2.61,Green
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),OCE-OF-05,1701,Office Environment - VoIP Eastern Gateway and Call Center upgrade and expansion,01/01/2013,01/04/2013,0.555,-151,-167.78,Red,0,0,Green
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),OCE-OF-08,1702,Office Environment - Head End Core Component,01/04/2013,30/09/2013,5.6,0,0,Green,0,0,Green
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),OCE-OF-15,1707,Office Environment - Alternative Network Connectivity,15/02/2012,31/08/2012,0.25,-364,-183.84,Red,0,0,Green
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),OCE-OF-18,1710,Office Environment - Network Head End Upgrade,15/02/2012,31/08/2012,1.198251,-20,-10.1,Yellow,0.022739,1.9,Green
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),OCE-OF-23,1712,Office Environment - VoIP Site Installations,01/04/2013,06/08/2013,10,-24,-18.9,Yellow,0,0,Green
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),OCE-EU-06,6635,End User Devices - FSC Server Centralization,03/10/2013,30/09/2014,11,0,0,Green,0,0,Green
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),OCE-OF-03,6637,Office Environment - Expansion of  FSC WAN Optimization,01/02/2013,01/04/2013,11.2,-151,-255.93,Red,0,0,Green
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),OCE-OF-06,6639,Office Environment - Server Virtualization Storage Backup,01/04/2013,30/09/2013,1.2,0,0,Green,0,0,Green
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),OCE-OF-07,6641,Office Environment - Call Center Infrastructure Replacement,03/12/2012,01/04/2013,1.445,-151,-167.78,Red,0,0,Green
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),OCE-OF-24,6643,Office Environment - Continued VoIP Site Installations,01/04/2013,30/09/2014,8,-24,-18.9,Yellow,0,0,Green
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),OCE-OF-29,6645,Office Environment - Continued Exansion of FSC WAN Optimization,01/10/2013,30/09/2014,11,0,0,Green,0,0,Green
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,EP-001,1749,ePACS: PIV-A,30/09/2011,31/07/2012,0.9,0,0,Green,0,0,Green
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,EP-002,1750,ePACS: EEMS Integration,30/12/2011,31/03/2012,0.03,0,0,Green,0,0,Green
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,EP-004,1752,ePACS: Visitor Management Solution,30/12/2011,30/09/2012,0.256,0,0,Green,0,0,Green
005-000000018,253,5,Department of Agriculture,Web-Based Supply Chain Management (WBSCM),REL2_2_14,6409,Maintenance Release 2.2.14.0,01/10/2012,30/11/2012,0.395,0,0,Green,0,0,Green
005-000000018,253,5,Department of Agriculture,Web-Based Supply Chain Management (WBSCM),REL2_2_15,6411,Maintenance Release 2.2.15.0,16/11/2012,22/02/2013,2.2,-21,-22.58,Yellow,-0.0285,-1.32,Green
005-000000018,253,5,Department of Agriculture,Web-Based Supply Chain Management (WBSCM),REL2_2_16,6413,Maintenance Release 2.2.16.0,10/01/2013,24/05/2013,2.15,-14,-15.91,Yellow,0.0045,0.21,Green
005-000000018,253,5,Department of Agriculture,Web-Based Supply Chain Management (WBSCM),REL2_2_17,6415,Maintenance Release 2.2.17.0,11/04/2013,23/08/2013,2.1,-17,-19.54,Yellow,2.0224,100,Red
005-000001742,254,5,Department of Agriculture,"FSA Architecture, SDLC and Common IT Solutions  #0109",FY12 CITSO,1396,FY12 Common Solutions,22/09/2011,21/09/2012,1.22028,0,0,Green,0.004658,0.38,Green
005-000001742,254,5,Department of Agriculture,"FSA Architecture, SDLC and Common IT Solutions  #0109",FY12 EA,1397,FY12 Enterprise Architecture,22/09/2011,21/09/2012,4.707543,20,5.49,Green,0.054988,1.17,Green
005-000001742,254,5,Department of Agriculture,"FSA Architecture, SDLC and Common IT Solutions  #0109",FY12 FTE,1398,FY12 FTE Resources,01/10/2011,30/09/2012,4.282884,0,0,Green,0,0,Green
005-000001742,254,5,Department of Agriculture,"FSA Architecture, SDLC and Common IT Solutions  #0109",FY12 PMO,1399,FY12 Program Management,14/09/2011,13/09/2012,2.149643,0,0,Green,-0.127508,-5.93,Green
005-000000054,271,5,Department of Agriculture,Geographic Information System  (GIS) #84,1A,6459,NAIP 2012,03/10/2011,30/08/2013,16.92,0,0,Green,-0.641772,-7.59,Green
005-000000054,271,5,Department of Agriculture,Geographic Information System  (GIS) #84,2A,6461,NAIP 2013,01/10/2012,29/08/2014,17.35,0,0,Green,0.136066,0.78,Green
005-000000054,271,5,Department of Agriculture,Geographic Information System  (GIS) #84,3A,6463,NAIP 2014,01/10/2013,31/08/2015,16.92,0,0,Green,0,0,Green
005-000000054,271,5,Department of Agriculture,Geographic Information System  (GIS) #84,4A,6465,GIS Support Services 2013,03/12/2012,29/11/2013,2.4,0,0,Green,0,0,Green
005-000000054,271,5,Department of Agriculture,Geographic Information System  (GIS) #84,5A,6467,GIS Support Services 2014,01/10/2013,28/11/2014,2.4,0,0,Green,0,0,Green
005-000000073,393,5,Department of Agriculture,AgPRS - USDA Public Safety Land Mobile Radio System,1,1646,AgPRS Life Cycle Replacement Project,01/10/2012,30/09/2013,18.4645,-88,-35.92,Red,0,0,Green
005-000000073,393,5,Department of Agriculture,AgPRS - USDA Public Safety Land Mobile Radio System,2,1647,AgPRS Operations and Maintenance Project,01/10/2012,30/09/2013,21.611,0,0,Green,0,0,Green
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,5,1764,SR 20115337 Cloud Services,01/06/2011,19/10/2012,0.55,-746,-4388.24,Red,0,0,Green
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,7,1765,SR 20092856 DOI - USDA FS Access Authentication,06/01/2009,14/12/2017,0.9,-1176,-492.05,Red,0,0,Green
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,9,1766,SR 20115259 Linc Pass 2 Factor Identification,15/02/2011,15/04/2013,0.8,-700,-625,Red,0,0,Green
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,1,2829,SR 20093089 Telecommunications Ordering Project,12/04/2010,15/04/2013,0.14,-137,-18.12,Yellow,0,0,Green
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2,2830,SR 20104088 Server Virtualization,06/08/2010,01/06/2014,0.32,-455,-68.42,Red,0,0,Green
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,3,2831,SR 20115333 gEMS Domino Application Migration,29/04/2011,23/10/2014,0.3,0,0,Green,0,0,Green
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,4,2832,SR 20115292 Disaster Recovery Investigation,30/06/2011,20/11/2012,0.75,-284,-55.91,Red,0,0,Green
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,6,2833,SR 20071820 Data Center Initiative Migration,01/06/2007,04/04/2012,0.5,-516,-29.22,Yellow,0,0,Green
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,8,2834,SR 20071820 Network upgrade for Data Center Initiative,02/03/2009,02/04/2012,0.1,-515,-45.7,Red,0,0,Green
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,10,1946,CLP PMO Support and Documentation,14/06/2010,30/09/2017,10.68,0,0,Green,0,0,Green
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,180,6619,CLP Systems Modernization,04/01/2010,29/09/2017,35.165,0,0,Green,0,0,Green
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,190,6621,CLP Core Services Modernization,26/02/2010,29/09/2016,21.361,0,0,Green,0,0,Green
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,200,6623,CLP Systems Retirement,08/07/2010,29/12/2017,25.814,0,0,Green,0,0,Green
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,FY11DWDS,1741,DWDS,18/07/2011,17/07/2012,3.795235,0,0,Green,0.051505,1.36,Green
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,FY11EIMTS,1742,EIMTS,30/09/2011,29/09/2012,2.3252,0,0,Green,0.006188,0.27,Green
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,FY11FMRS,1743,FMRS,01/07/2011,31/12/2011,0.670791,0,0,Green,0.007382,1.1,Green
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,FY11PMO,1744,EIMPMO,03/06/2011,02/06/2012,4.88587,0,0,Green,0.293629,6.01,Green
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,FY12NITC,1745,Hosting,01/10/2011,30/09/2012,1.988088,0,0,Green,0.329021,16.55,Yellow
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,FY12DWDS,6313,FY12DWDS,26/04/2012,30/09/2013,6.84618,0,0,Green,2.04197,29.83,Yellow
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,FY12EIMTS,6315,FY12EIMTS,15/05/2012,30/09/2013,2.349143,0,0,Green,0.274695,11.69,Yellow
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,FY12MDM,6317,FY12MDM,02/04/2012,31/08/2013,1.029839,0,0,Green,0.000008,0,Green
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,FY12FTE,6603,FY12FTE,01/10/2011,30/09/2012,0.237938,0,0,Green,0,0,Green
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,FY12PDM,6605,FY12PDM,04/06/2012,30/11/2012,2.094545,0,0,Green,0,0,Green
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,FY13DWDS,6607,FY13DWDS,31/03/2013,31/03/2014,0.913387,90,98.9,Red,0.308776,100,Red
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,FY13Host,6609,FY13Hosting,01/10/2012,30/09/2013,1.577528,0,0,Green,0,0,Green
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,FY13PDM,6611,FY13PDM,01/12/2012,30/09/2013,1.991321,0,0,Green,0.251563,12.63,Yellow
005-000002376,1099,5,Department of Agriculture,Conservation Delivery Streamline Initiative (CDSI),4,5889,Conservation Desktop,03/10/2011,30/09/2021,55.447595,0,0,Green,-0.201,-0.6,Green
005-000002376,1099,5,Department of Agriculture,Conservation Delivery Streamline Initiative (CDSI),5,5891,Client Gateway,01/04/2013,30/09/2021,3.83,0,0,Green,0,0,Green
005-000002376,1099,5,Department of Agriculture,Conservation Delivery Streamline Initiative (CDSI),6,5893,Mobile Planner,01/04/2013,30/09/2021,30.275976,0,0,Green,0,0,Green
005-000002335,1263,5,Department of Agriculture,USDA Security Operations Center (SOC),1,6425,Integrated Program Staff Support,01/10/2012,30/09/2014,18.51,0,0,Green,0,0,Green
005-000002335,1263,5,Department of Agriculture,USDA Security Operations Center (SOC),2_2,6427,Tivoli Endpoint Manager (BigFix),01/10/2012,30/09/2014,3.406,0,0,Green,0,0,Green
005-000002335,1263,5,Department of Agriculture,USDA Security Operations Center (SOC),2_4,6429,Enterprise Vulnerability Scanner,01/10/2012,30/09/2014,0.4,-242,-403.33,Red,0,0,Green
005-000002335,1263,5,Department of Agriculture,USDA Security Operations Center (SOC),2_5,6431,Business Intelligence,01/10/2012,30/09/2014,0.17,0,0,Green,0,0,Green
005-000002335,1263,5,Department of Agriculture,USDA Security Operations Center (SOC),2_6,6433,ITS/NITC/WCTS Software Hosting-SSA,01/10/2012,30/09/2014,3.054,0,0,Green,0,0,Green
005-000002335,1263,5,Department of Agriculture,USDA Security Operations Center (SOC),3_2,6435,Cyber Policy Remediation,07/01/2013,30/09/2014,0.35,-182,-18200,Red,0,0,Green
005-000002335,1263,5,Department of Agriculture,USDA Security Operations Center (SOC),3_3,6437,Continuous Monitoring,01/10/2012,30/09/2014,2.176,0,0,Green,0,0,Green
005-000002335,1263,5,Department of Agriculture,USDA Security Operations Center (SOC),4_2,6439,COMSEC,01/10/2012,30/09/2014,0.478,-63,-23.33,Yellow,0,0,Green
005-000002335,1263,5,Department of Agriculture,USDA Security Operations Center (SOC),4_5,6441,Management Reserves,01/10/2012,30/09/2014,1.138,0,0,Green,0,0,Green
005-000002335,1263,5,Department of Agriculture,USDA Security Operations Center (SOC),4_6,6443,Hosting Incident Handling,01/10/2012,30/09/2014,0.342,0,0,Green,0,0,Green
